Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration
2,5.495679295857747,5.210998001098633,5.210998001098633,0.006666666666666667,0.03333333333333333,0.03333333333333333,0.0005274261603375527,0.006329113924050633,0.0009737098344693282,0.009749455337690631,0.032679738562091505,0.01214233841684822,0.009749455337690631,0.032679738562091505,0.01214233841684822,104.1060779094696
3,5.205185667673747,4.990626913706461,4.990626913706461,0.02666666666666667,0.05333333333333334,0.05333333333333334,0.010348583877995643,0.026143790849673203,0.012676865618042089,0.019157407407407404,0.05333333333333334,0.025450980392156864,0.019157407407407404,0.05333333333333334,0.025450980392156864,104.76602005958557
4,4.972040621439616,4.667175680796305,4.667175680796305,0.04,0.14,0.14,0.022836601307189543,0.04,0.02486772486772487,0.08684615384615384,0.14,0.09652347652347651,0.08684615384615384,0.14,0.09652347652347651,105.17136001586914
5,4.649684022267659,4.188725306193034,4.188725306193034,0.11333333333333333,0.28,0.28,0.058015873015873014,0.11333333333333333,0.0699047619047619,0.15916955266955266,0.28,0.1874021164021164,0.15916955266955266,0.28,0.1874021164021164,105.34777402877808
6,4.180966930389404,3.418874928156535,3.418874928156535,0.21333333333333335,0.47333333333333333,0.47333333333333333,0.12066161616161615,0.21333333333333335,0.14170370370370372,0.3416375661375661,0.47333333333333333,0.37492592592592594,0.3416375661375661,0.47333333333333333,0.37492592592592594,105.2487621307373
7,3.47076696395874,2.2562066459655763,2.2562066459655763,0.3333333333333333,0.6266666666666667,0.6266666666666667,0.23256349206349208,0.3333333333333333,0.2561640211640212,0.5370683760683761,0.6266666666666667,0.5597460317460317,0.5370683760683761,0.6266666666666667,0.5597460317460317,105.24684405326843
8,2.4529648462931317,1.0152359199523926,1.0152359199523926,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.36266666666666664,0.4666666666666667,0.3906666666666666,0.81,0.8666666666666667,0.8277777777777778,0.81,0.8666666666666667,0.8277777777777778,105.60060286521912
9,1.7491410032908121,0.7803821309407553,0.7803821309407553,0.5333333333333333,0.8533333333333334,0.8533333333333334,0.4505555555555556,0.5333333333333333,0.47333333333333333,0.8102222222222222,0.8533333333333334,0.8208888888888889,0.8102222222222222,0.8533333333333334,0.8208888888888889,108.73777675628662
10,1.1845817645390828,0.454553120136261,0.454553120136261,0.6933333333333334,0.9133333333333333,0.9133333333333333,0.6096666666666667,0.6933333333333334,0.6322222222222222,0.8794444444444444,0.9133333333333333,0.8893333333333334,0.8794444444444444,0.9133333333333333,0.8893333333333334,107.66717410087585
11,0.7641855239868164,0.4499111517270406,0.4499111517270406,0.8266666666666667,0.9,0.9,0.7674444444444444,0.8266666666666667,0.7837777777777778,0.8655555555555554,0.9,0.8752380952380951,0.8655555555555554,0.9,0.8752380952380951,105.87718915939331
