Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.066995328267415,5.02866688410441,5.02866688410441,0.0,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.0,0.0,0.03333333333333333,0.003,0.013333333333333334,0.03333333333333333,0.003,0.013333333333333334,111.3732590675354,0.0,0.00488888888888889,0.00488888888888889
3,5.044655532836914,5.010000991821289,5.010000991821289,0.0,0.006666666666666667,0.006666666666666667,0.03333333333333333,0.0,0.0,0.04666666666666667,0.0013333333333333335,0.006666666666666667,0.04666666666666667,0.0013333333333333335,0.006666666666666667,113.13894891738892,0.0,0.0022222222222222222,0.0022222222222222222
4,4.972477296193441,4.961840318044026,4.961840318044026,0.0,0.013333333333333334,0.013333333333333334,0.04666666666666667,0.0,0.0,0.05333333333333334,0.005,0.013333333333333334,0.05333333333333334,0.005,0.013333333333333334,109.5835030078888,0.0,0.007111111111111111,0.007111111111111111
5,4.937101300557455,4.878384431203206,4.878384431203206,0.013333333333333334,0.02666666666666667,0.02666666666666667,0.06,0.003636363636363636,0.013333333333333334,0.09333333333333334,0.015751633986928103,0.02666666666666667,0.09333333333333334,0.015751633986928103,0.02666666666666667,114.6405119895935,0.005024154589371981,0.017047619047619048,0.017047619047619048
6,4.852748635609944,4.7822082773844405,4.7822082773844405,0.013333333333333334,0.06,0.06,0.11333333333333333,0.005555555555555555,0.013333333333333334,0.23333333333333334,0.036603942652329746,0.06,0.23333333333333334,0.036603942652329746,0.06,113.68144416809082,0.007777777777777777,0.04078703703703704,0.04078703703703704
7,4.7654128265380855,4.682573235829671,4.682573235829671,0.06,0.12,0.12,0.21333333333333335,0.03938383838383838,0.06,0.37333333333333335,0.06276666666666667,0.12,0.37333333333333335,0.06276666666666667,0.12,114.13207292556763,0.04238888888888889,0.07523239723239722,0.07523239723239722
8,4.720483735402425,4.594751249949137,4.594751249949137,0.09333333333333334,0.2866666666666667,0.2866666666666667,0.2733333333333333,0.04783976608187135,0.09333333333333334,0.5266666666666666,0.1921904761904762,0.2866666666666667,0.5266666666666666,0.1921904761904762,0.2866666666666667,112.40135216712952,0.05664957264957265,0.21225974025974026,0.21225974025974026
9,4.639538345336914,4.512401053110758,4.512401053110758,0.18,0.42,0.42,0.4066666666666667,0.11601120448179271,0.18,0.6533333333333333,0.31832275132275134,0.42,0.6533333333333333,0.31832275132275134,0.42,113.62606501579285,0.12942328042328044,0.3425350877192982,0.3425350877192982
10,4.584132741292318,4.433633893330892,4.433633893330892,0.2,0.5333333333333333,0.5333333333333333,0.44666666666666666,0.1301468253968254,0.2,0.76,0.43252777777777773,0.5333333333333333,0.76,0.43252777777777773,0.5333333333333333,114.85727214813232,0.14261947856065502,0.4584766214177979,0.4584766214177979
11,4.4918843905131025,4.360976899464925,4.360976899464925,0.32666666666666666,0.64,0.64,0.6333333333333333,0.2368730158730159,0.32666666666666666,0.8533333333333334,0.5505555555555556,0.64,0.8533333333333334,0.5505555555555556,0.64,113.38402891159058,0.257,0.574489898989899,0.574489898989899
12,4.4181222852071125,4.284377123514811,4.284377123514811,0.36,0.7466666666666667,0.7466666666666667,0.7066666666666667,0.25186772486772485,0.36,0.94,0.663962962962963,0.7466666666666667,0.94,0.663962962962963,0.7466666666666667,114.02249908447266,0.27689466089466086,0.6873333333333332,0.6873333333333332
13,4.374220727284749,4.214656988779704,4.214656988779704,0.5,0.84,0.84,0.7533333333333333,0.39311399711399714,0.5,0.9533333333333334,0.7875,0.84,0.9533333333333334,0.7875,0.84,114.94269394874573,0.42277777777777775,0.8023703703703704,0.8023703703703704
14,4.354570452372233,4.144399388631185,4.144399388631185,0.5333333333333333,0.8866666666666667,0.8866666666666667,0.7933333333333333,0.4042222222222222,0.5333333333333333,0.9733333333333334,0.8515079365079365,0.8866666666666667,0.9733333333333334,0.8515079365079365,0.8866666666666667,113.79987096786499,0.4396565656565656,0.861,0.861
15,4.269527816772461,4.073816515604655,4.073816515604655,0.6666666666666666,0.94,0.94,0.88,0.5642857142857143,0.6666666666666666,0.9866666666666667,0.9179999999999999,0.94,0.9866666666666667,0.9179999999999999,0.94,112.90067529678345,0.5935714285714285,0.9244444444444446,0.9244444444444446
16,4.220448017120361,4.005489400227865,4.005489400227865,0.72,0.9666666666666667,0.9666666666666667,0.9066666666666666,0.6261111111111112,0.72,0.9866666666666667,0.9522222222222223,0.9666666666666667,0.9866666666666667,0.9522222222222223,0.9666666666666667,121.69119930267334,0.6524444444444444,0.9566666666666667,0.9566666666666667
17,4.166618467966716,3.9399656581878664,3.9399656581878664,0.7933333333333333,0.9733333333333334,0.9733333333333334,0.9333333333333333,0.7133333333333334,0.7933333333333333,0.9866666666666667,0.9622222222222223,0.9733333333333334,0.9866666666666667,0.9622222222222223,0.9733333333333334,121.13783884048462,0.7374603174603175,0.9655555555555556,0.9655555555555556
18,4.051145216623942,3.873539670308431,3.873539670308431,0.8466666666666667,0.9733333333333334,0.9733333333333334,0.96,0.7902222222222222,0.8466666666666667,0.9933333333333333,0.96,0.9733333333333334,0.9933333333333333,0.96,0.9733333333333334,119.24722409248352,0.8066666666666666,0.9644444444444445,0.9644444444444445
19,4.051417764027914,3.810638780593872,3.810638780593872,0.9,0.98,0.98,0.9666666666666667,0.855,0.9,0.9933333333333333,0.97,0.98,0.9933333333333333,0.97,0.98,109.85612392425537,0.8693333333333334,0.9733333333333334,0.9733333333333334
20,3.951824636459351,3.7468943341573078,3.7468943341573078,0.9333333333333333,0.9933333333333333,0.9933333333333333,0.98,0.9,0.9333333333333333,0.9933333333333333,0.99,0.9933333333333333,0.9933333333333333,0.99,0.9933333333333333,117.13270401954651,0.9111111111111111,0.9911111111111113,0.9911111111111113
21,3.9230594635009766,3.675808623631795,3.675808623631795,0.9266666666666666,0.9933333333333333,0.9933333333333333,0.9666666666666667,0.8944444444444446,0.9266666666666666,0.9933333333333333,0.99,0.9933333333333333,0.9933333333333333,0.99,0.9933333333333333,118.32063913345337,0.9044444444444446,0.9911111111111113,0.9911111111111113
